1.000	13.230	507.000	4.310	nan	2.000	1.000	0.000	1.000	0.000
1.000	13.400	507.708	4.020	nan	2.000	2.000	0.000	1.000	0.001
1.000	13.290	508.125	4.120	21.973	2.000	3.000	0.000	1.000	0.002
1.000	12.990	509.125	4.510	21.973	2.000	4.000	0.000	1.000	0.002
1.000	12.060	509.875	0.980	nan	2.000	5.000	0.000	1.000	0.003
1.000	11.130	510.375	0.390	22.114	2.000	6.000	0.000	1.000	0.004
1.000	10.690	510.708	0.000	nan	2.000	7.000	0.000	1.000	0.005
1.000	10.230	510.333	0.000	23.080	2.000	8.000	1.000	1.000	0.006
1.000	10.950	508.625	0.000	23.080	2.000	9.000	1.000	1.000	0.006
0.000	11.850	505.333	0.490	nan	2.000	10.000	1.000	1.000	0.007
0.000	12.560	504.000	0.880	nan	2.000	11.000	1.000	1.000	0.008
0.000	13.800	501.812	0.690	22.517	2.000	12.000	1.000	1.000	0.009
0.000	14.100	499.400	2.060	22.517	2.000	13.000	1.000	1.000	0.010
0.000	14.350	498.708	1.860	22.517	2.000	14.000	1.000	1.000	0.010
0.000	14.030	497.292	3.630	22.517	2.000	15.000	1.000	1.000	0.011
0.000	13.740	500.417	2.450	22.517	2.000	16.000	1.000	1.000	0.012
0.000	13.320	503.458	1.760	nan	2.000	17.000	1.000	1.000	0.013
0.000	12.680	506.625	0.000	22.367	2.000	18.000	0.000	1.000	0.014
0.000	12.430	508.958	1.370	21.917	2.000	19.000	0.000	1.000	0.014
0.000	11.810	511.083	1.370	21.917	2.000	20.000	0.000	1.000	0.015
0.000	11.390	512.583	0.880	21.777	2.000	21.000	0.000	1.000	0.016
0.000	10.830	514.167	1.270	21.357	2.000	22.000	0.000	1.000	0.017
0.000	10.730	515.375	1.180	21.357	2.000	23.000	0.000	1.000	0.018
0.000	10.510	515.208	1.080	nan	2.000	0.000	0.000	1.000	0.018
0.000	10.300	516.000	0.880	nan	2.000	1.000	0.000	1.000	0.019
0.000	10.320	516.708	0.690	21.295	2.000	2.000	0.000	1.000	0.020
1.000	10.230	517.000	0.690	21.733	2.000	3.000	0.000	1.000	0.021
1.000	10.050	517.167	1.370	21.733	2.000	4.000	0.000	1.000	0.022
1.000	9.580	517.833	1.960	nan	2.000	5.000	0.000	1.000	0.022
1.000	8.940	519.542	0.690	22.350	2.000	6.000	0.000	1.000	0.023
1.000	8.820	520.750	0.000	22.350	2.000	7.000	0.000	1.000	0.024
1.000	8.980	518.333	0.590	22.977	2.000	8.000	1.000	1.000	0.025
0.000	9.700	515.292	1.180	22.977	2.000	9.000	1.000	1.000	0.026
0.000	10.480	512.292	1.270	22.977	2.000	10.000	1.000	1.000	0.026
